cgpa,placement_exam_marks,college_tier,internship_experience,placement
6.93,69.0,Tier 1,0,0
6.76,24.0,Tier 1,1,1
7.08,30.0,Tier 2,1,1
7.67,23.0,Tier 2,1,1
6.98,34.0,Tier 1,0,1
6.39,32.0,Tier 3,1,1
5.62,31.0,Tier 2,0,1
7.17,49.0,Tier 2,1,0
7.65,41.0,Tier 1,0,1
6.23,24.0,Tier 2,0,0
6.19,19.0,Tier 1,0,0
6.07,29.0,Tier 2,1,0
7.5,10.0,Tier 1,0,1
7.02,9.0,Tier 1,1,0
6.54,19.0,Tier 2,1,1
6.46,74.0,Tier 2,0,0
7.48,47.0,Tier 1,1,1
7.65,12.0,Tier 3,0,1
7.92,32.0,Tier 2,1,1
7.23,9.0,Tier 1,0,0
6.24,17.0,Tier 3,1,0
7.0,9.0,Tier 1,1,0
6.02,60.0,Tier 2,1,0
8.14,20.0,Tier 3,1,1
5.86,56.0,Tier 3,0,0
6.89,53.0,Tier 2,1,1
6.5,28.0,Tier 1,1,1
6.31,14.0,Tier 2,1,0
6.1,16.0,Tier 3,0,0
7.19,20.0,Tier 2,1,0
6.49,81.0,Tier 3,1,0
6.23,13.0,Tier 3,1,1
6.39,15.0,Tier 1,0,0
7.16,19.0,Tier 1,1,1
7.68,31.0,Tier 2,0,1
6.39,22.0,Tier 1,1,1
7.14,21.0,Tier 3,0,1
8.04,14.0,Tier 3,1,1
5.99,23.0,Tier 2,1,1
7.43,52.0,Tier 3,0,0
7.78,17.0,Tier 1,1,1
5.27,43.0,Tier 1,0,0
7.19,23.0,Tier 2,1,1
7.84,26.0,Tier 1,1,1
5.52,62.0,Tier 2,0,0
6.93,10.0,Tier 2,1,1
6.27,16.0,Tier 3,1,1
6.1,9.0,Tier 3,0,1
7.33,32.0,Tier 3,0,0
6.67,18.0,Tier 1,1,1
7.48,27.0,Tier 3,1,0
6.3,23.0,Tier 3,1,1
7.05,32.0,Tier 3,1,0
6.46,21.0,Tier 1,0,1
6.44,63.0,Tier 2,1,0
6.87,37.0,Tier 2,0,1
6.46,28.0,Tier 3,1,1
6.81,55.0,Tier 1,0,0
6.91,59.0,Tier 2,0,0
7.29,23.0,Tier 2,0,1
6.22,52.0,Tier 2,0,0
6.67,65.0,Tier 2,1,1
7.09,33.0,Tier 3,0,1
6.65,24.0,Tier 3,0,0
6.84,32.0,Tier 3,0,0
6.44,24.0,Tier 2,0,0
6.89,22.0,Tier 1,0,1
7.45,27.0,Tier 2,0,0
7.33,14.0,Tier 2,1,1
6.31,60.0,Tier 1,1,1
7.62,18.0,Tier 2,1,1
5.98,36.0,Tier 1,0,1
6.99,97.0,Tier 2,0,1
7.2,54.0,Tier 2,1,1
7.2,27.0,Tier 1,1,1
7.89,8.0,Tier 3,0,1
8.39,37.0,Tier 3,0,1
6.29,17.0,Tier 2,0,1
6.54,43.0,Tier 1,0,0
7.74,22.0,Tier 2,0,0
5.83,68.0,Tier 1,0,1
7.89,9.0,Tier 3,1,1
7.52,6.0,Tier 3,1,1
5.72,64.0,Tier 1,1,1
7.51,26.0,Tier 2,1,0
6.52,22.0,Tier 3,1,1
7.51,21.0,Tier 2,1,1
6.32,28.0,Tier 2,0,0
6.04,37.0,Tier 2,0,1
8.04,2.0,Tier 3,0,1
6.32,5.0,Tier 2,1,0
6.77,16.0,Tier 2,1,1
7.29,35.0,Tier 3,0,1
8.04,26.0,Tier 3,1,1
7.33,36.0,Tier 1,0,1
5.51,58.0,Tier 3,1,0
6.67,15.0,Tier 3,0,0
6.56,60.0,Tier 2,0,0
6.95,54.0,Tier 2,0,1
7.9,42.0,Tier 3,0,0
6.6,24.0,Tier 2,0,0
5.73,16.0,Tier 2,0,1
6.33,20.0,Tier 3,1,0
6.32,9.0,Tier 3,1,1
6.98,34.0,Tier 3,0,1
6.83,31.0,Tier 1,1,1
6.4,13.0,Tier 2,1,0
7.72,42.0,Tier 3,0,0
7.25,35.0,Tier 1,0,1
7.98,6.0,Tier 1,0,1
7.11,4.0,Tier 1,0,1
7.13,16.0,Tier 1,1,0
7.22,17.0,Tier 2,0,1
7.19,17.0,Tier 1,1,1
7.62,23.0,Tier 3,1,1
7.39,38.0,Tier 1,0,1
7.73,30.0,Tier 3,1,1
7.42,26.0,Tier 3,0,1
5.96,18.0,Tier 2,1,0
7.07,32.0,Tier 2,0,0
6.5,16.0,Tier 1,1,0
7.82,35.0,Tier 2,1,1
5.73,38.0,Tier 2,0,0
7.13,35.0,Tier 3,1,0
7.14,18.0,Tier 2,1,1
7.62,8.0,Tier 3,1,0
6.08,19.0,Tier 1,1,1
7.1,50.0,Tier 2,1,1
7.03,42.0,Tier 3,0,0
7.56,28.0,Tier 3,0,1
7.36,32.0,Tier 3,1,1
7.08,29.0,Tier 1,0,0
7.56,34.0,Tier 1,1,0
7.03,44.0,Tier 1,1,1
6.06,17.0,Tier 1,0,1
6.57,11.0,Tier 2,0,1
7.82,29.0,Tier 1,1,0
7.45,36.0,Tier 2,0,0
7.48,38.0,Tier 3,1,1
6.78,7.0,Tier 2,0,0
6.97,25.0,Tier 1,1,0
6.88,34.0,Tier 3,0,0
6.88,11.0,Tier 2,1,1
5.95,100.0,Tier 2,0,1
7.09,9.0,Tier 2,1,1
6.59,21.0,Tier 2,0,1
7.97,52.0,Tier 1,1,1
6.91,38.0,Tier 1,1,1
7.68,23.0,Tier 1,0,0
6.52,10.0,Tier 3,0,0
6.85,23.0,Tier 3,0,1
6.91,56.0,Tier 2,1,1
7.02,14.0,Tier 2,1,1
7.37,52.0,Tier 1,1,1
6.63,32.0,Tier 1,0,0
6.89,25.0,Tier 2,0,1
6.94,7.0,Tier 1,1,1
7.19,33.0,Tier 1,0,0
6.89,71.0,Tier 1,1,1
6.01,9.0,Tier 3,0,0
7.15,9.0,Tier 2,1,0
8.12,37.0,Tier 2,1,1
7.32,20.0,Tier 2,0,0
6.42,34.0,Tier 3,1,1
6.27,24.0,Tier 3,1,1
6.98,41.0,Tier 2,1,1
6.16,38.0,Tier 1,0,1
7.18,8.0,Tier 3,0,0
7.03,6.0,Tier 1,1,0
7.36,2.0,Tier 2,1,1
7.21,21.0,Tier 3,0,0
6.71,26.0,Tier 2,0,0
7.95,12.0,Tier 3,0,0
6.49,70.0,Tier 2,1,0
6.38,15.0,Tier 2,0,1
7.94,11.0,Tier 2,0,0
6.65,33.0,Tier 3,0,1
7.52,48.0,Tier 1,0,0
7.71,25.0,Tier 2,0,0
6.91,44.0,Tier 1,1,1
8.0,39.0,Tier 1,0,0
7.2,26.0,Tier 3,1,0
6.86,21.0,Tier 2,0,1
6.51,27.0,Tier 3,1,0
7.43,11.0,Tier 2,1,1
6.76,27.0,Tier 2,1,0
6.81,10.0,Tier 3,1,0
7.65,9.0,Tier 1,0,1
7.09,46.0,Tier 3,0,0
6.74,8.0,Tier 1,1,0
8.09,54.0,Tier 3,1,1
7.37,52.0,Tier 3,1,0
6.24,72.0,Tier 3,1,1
7.35,59.0,Tier 1,1,1
6.84,26.0,Tier 1,0,1
6.86,41.0,Tier 1,0,1
7.28,42.0,Tier 2,1,1
6.69,18.0,Tier 2,1,1
7.02,18.0,Tier 1,0,0
6.1,37.0,Tier 1,1,1
6.42,38.0,Tier 1,0,0
8.43,25.0,Tier 1,1,1
6.96,48.0,Tier 2,0,0
7.18,49.0,Tier 3,0,0
6.78,12.0,Tier 1,1,1
7.0,13.0,Tier 2,0,1
6.18,27.0,Tier 3,1,0
8.06,37.0,Tier 1,1,1
6.87,22.0,Tier 3,1,1
6.81,11.0,Tier 2,0,1
6.89,16.0,Tier 2,0,1
7.1,26.0,Tier 1,0,1
7.09,19.0,Tier 3,1,1
6.77,62.0,Tier 3,1,1
5.64,37.0,Tier 2,0,0
6.23,31.0,Tier 1,1,0
6.17,33.0,Tier 1,1,1
7.04,57.0,Tier 1,1,1
6.26,12.0,Tier 3,0,0
6.73,21.0,Tier 1,1,1
6.48,63.0,Tier 2,0,1
8.87,44.0,Tier 1,1,1
9.12,65.0,Tier 2,1,1
4.89,34.0,Tier 1,1,1
8.62,46.0,Tier 3,0,0
4.9,10.0,Tier 3,0,0
7.0,21.78,Tier 2,0,1
9.3,25.4,Tier 1,0,1
8.43,44.05,Tier 3,0,0
7.89,22.68,Tier 2,0,1
6.12,16.78,Tier 3,0,1
6.12,32.27,Tier 3,0,0
5.73,47.45,Tier 3,0,1
8.96,37.84,Tier 1,1,1
7.9,32.8,Tier 1,0,1
8.33,13.89,Tier 2,1,1
5.58,34.6,Tier 2,0,0
9.38,49.6,Tier 1,1,0
8.83,15.6,Tier 3,0,0
6.35,30.73,Tier 2,0,0
6.23,45.09,Tier 2,1,1
6.23,39.63,Tier 1,1,0
6.72,37.88,Tier 2,1,0
7.6,38.1,Tier 1,0,1
7.23,24.38,Tier 2,0,1
6.66,21.74,Tier 1,1,1
7.95,42.37,Tier 1,1,0
6.06,42.4,Tier 2,1,0
6.67,44.68,Tier 2,1,0
6.97,46.53,Tier 1,0,1
7.32,30.45,Tier 3,1,0
8.64,30.06,Tier 2,0,1
6.3,41.93,Tier 1,0,0
7.56,36.0,Tier 3,0,1
7.87,38.08,Tier 1,1,1
5.69,41.83,Tier 2,0,1
7.93,45.6,Tier 3,0,0
6.18,23.52,Tier 3,1,0
5.76,25.02,Tier 2,0,0
9.3,13.76,Tier 1,1,1
9.36,33.13,Tier 2,0,1
8.73,11.44,Tier 3,1,1
6.72,28.62,Tier 2,1,1
5.89,31.71,Tier 3,0,1
8.24,21.46,Tier 3,1,0
7.26,33.63,Tier 1,0,1
5.99,11.22,Tier 1,0,0
7.48,11.49,Tier 2,1,1
5.64,42.9,Tier 1,0,0
9.14,24.41,Tier 3,1,0
6.54,15.08,Tier 3,0,0
8.15,30.89,Tier 2,1,1
6.75,40.8,Tier 3,1,0
7.58,18.63,Tier 1,1,1
7.69,34.92,Tier 1,0,0
6.24,13.41,Tier 2,0,0
9.38,12.07,Tier 1,1,1
8.6,31.25,Tier 2,1,1
9.26,31.63,Tier 2,1,1
9.08,35.5,Tier 3,1,1
7.89,39.04,Tier 3,0,1
9.19,49.03,Tier 3,1,1
5.85,30.65,Tier 1,1,1
6.28,22.92,Tier 3,0,1
5.68,41.81,Tier 3,0,1
6.8,20.83,Tier 3,1,0
7.05,27.56,Tier 1,1,0
6.59,13.14,Tier 2,1,0
8.81,11.01,Tier 2,0,1
6.93,48.51,Tier 3,1,0
6.62,43.44,Tier 1,0,0
7.67,37.84,Tier 2,0,1
6.06,26.36,Tier 2,0,0
8.71,16.93,Tier 2,1,1
5.8,16.26,Tier 2,0,0
9.45,20.01,Tier 3,1,0
8.59,31.97,Tier 3,1,1
6.29,38.58,Tier 3,1,1
5.52,36.41,Tier 2,0,1
8.76,21.2,Tier 1,1,1
8.33,48.19,Tier 2,1,1
8.42,39.52,Tier 2,1,1
8.59,32.17,Tier 1,1,1
5.8,34.47,Tier 2,0,1
6.93,26.78,Tier 1,1,0
5.96,19.91,Tier 2,0,0
8.95,24.24,Tier 2,0,0
7.99,40.31,Tier 1,1,0
6.82,10.58,Tier 3,0,1
5.75,14.64,Tier 3,0,0
6.74,11.84,Tier 2,1,1
6.8,11.63,Tier 1,1,1
8.42,44.22,Tier 2,0,0
8.05,38.15,Tier 1,1,1
9.05,28.97,Tier 3,1,1
7.39,13.91,Tier 3,0,1
5.98,29.66,Tier 1,0,1
8.35,28.94,Tier 2,1,1
8.54,16.93,Tier 3,1,1
7.75,27.35,Tier 2,1,1
8.58,25.94,Tier 2,1,1
7.48,34.63,Tier 2,1,1
7.59,35.4,Tier 3,0,0
7.21,11.81,Tier 2,0,1
5.6,24.98,Tier 2,0,1
5.93,35.03,Tier 3,1,0
5.63,30.13,Tier 3,0,1
8.05,44.26,Tier 1,1,1
6.76,36.35,Tier 3,1,0
7.53,16.52,Tier 3,1,1
9.13,12.82,Tier 2,1,1
6.5,35.7,Tier 2,1,0
7.14,11.06,Tier 3,0,1
8.52,33.43,Tier 2,1,1
6.42,47.61,Tier 2,0,1
5.81,33.02,Tier 3,0,1
6.66,25.53,Tier 3,1,1
6.14,35.73,Tier 3,0,0
9.22,28.33,Tier 1,0,1
8.73,31.82,Tier 2,1,1
8.03,47.66,Tier 3,1,1
8.99,25.44,Tier 1,1,1
8.71,48.45,Tier 1,1,0
6.25,46.21,Tier 1,1,1
9.07,17.83,Tier 1,0,0
7.66,12.77,Tier 2,0,0
8.73,14.03,Tier 1,0,0
9.08,10.73,Tier 3,1,1
6.77,13.78,Tier 1,1,0
5.94,37.32,Tier 3,0,1
6.41,12.85,Tier 3,0,0
7.21,22.76,Tier 2,1,1
8.77,43.8,Tier 2,0,1
8.94,10.93,Tier 1,1,1
5.53,42.58,Tier 2,0,0
7.54,21.27,Tier 2,1,1
7.17,14.73,Tier 3,0,1
6.39,37.87,Tier 2,1,1
5.98,35.16,Tier 3,1,0
6.85,45.1,Tier 1,1,0
9.27,39.4,Tier 2,1,1
6.79,42.14,Tier 3,1,0
7.58,21.28,Tier 3,1,1
8.31,17.1,Tier 3,0,1
6.95,40.02,Tier 1,1,1
9.39,42.27,Tier 1,1,1
9.35,49.62,Tier 1,1,1
6.51,26.5,Tier 1,1,1
7.49,24.88,Tier 2,1,1
6.7,41.06,Tier 1,1,1
6.64,23.63,Tier 2,0,0
5.65,47.23,Tier 3,0,0
7.94,44.34,Tier 2,1,1
7.51,27.16,Tier 1,1,1
5.71,40.03,Tier 3,0,1
6.61,40.18,Tier 2,1,1
9.13,14.12,Tier 2,1,1
6.46,46.1,Tier 2,1,1
6.08,30.21,Tier 2,1,0
7.46,43.06,Tier 1,0,0
9.44,22.8,Tier 1,0,1
6.47,45.82,Tier 1,0,0
8.19,25.57,Tier 3,1,1
8.55,10.43,Tier 3,0,0
6.45,46.22,Tier 2,0,0
8.41,13.65,Tier 2,1,0
6.97,22.77,Tier 1,1,1
8.03,48.0,Tier 1,1,1
8.03,48.02,Tier 2,1,1
7.64,32.94,Tier 1,0,1
5.86,35.27,Tier 1,1,0
8.84,27.94,Tier 1,1,1
6.78,21.73,Tier 3,0,1
6.25,23.15,Tier 2,0,0
5.66,36.9,Tier 2,0,0
7.86,40.09,Tier 2,0,1
8.21,41.66,Tier 3,1,1
5.57,41.58,Tier 3,0,0
7.55,13.65,Tier 2,1,1
6.41,29.78,Tier 1,0,0
8.08,12.3,Tier 3,1,1
6.2,31.98,Tier 1,1,0
8.26,27.66,Tier 2,0,1
7.05,45.51,Tier 3,1,1
9.25,24.04,Tier 2,0,1
6.05,14.68,Tier 3,1,1
6.86,15.72,Tier 2,0,0
5.95,40.46,Tier 2,0,0
9.2,34.73,Tier 2,0,0
9.01,14.04,Tier 3,1,1
6.53,13.36,Tier 1,1,1
8.14,38.04,Tier 2,1,1
8.77,12.91,Tier 1,0,0
7.72,42.87,Tier 1,1,1
7.62,38.25,Tier 3,0,1
6.47,13.25,Tier 2,1,1
5.87,13.39,Tier 3,0,1
9.09,49.47,Tier 2,0,0
9.1,24.97,Tier 2,0,1
8.03,24.83,Tier 3,1,1
6.86,42.51,Tier 1,1,1
6.9,47.89,Tier 3,0,0
8.4,49.44,Tier 1,1,1
9.09,40.14,Tier 3,1,1
9.05,25.05,Tier 3,1,1
8.62,13.34,Tier 3,1,1
8.07,41.09,Tier 1,1,1
5.84,32.34,Tier 1,0,1
6.15,26.97,Tier 1,0,0
9.09,46.25,Tier 2,0,1
7.93,14.45,Tier 2,1,0
5.54,29.71,Tier 1,1,0
5.91,10.45,Tier 1,0,1
8.15,28.75,Tier 1,0,1
5.52,12.25,Tier 1,0,1
6.14,14.75,Tier 2,0,1
7.69,14.7,Tier 3,0,1
8.27,35.97,Tier 1,0,1
8.11,39.84,Tier 2,1,0
6.4,33.33,Tier 3,1,0
8.35,48.49,Tier 1,0,1
6.45,24.99,Tier 3,0,0
6.8,21.43,Tier 2,0,1
8.49,44.74,Tier 2,1,1
8.1,18.94,Tier 1,0,0
8.9,48.53,Tier 3,0,0
8.13,10.49,Tier 3,1,1
7.77,48.8,Tier 2,0,0
5.87,11.73,Tier 1,0,1
6.97,45.65,Tier 1,0,0
6.56,31.11,Tier 1,0,0
6.48,49.72,Tier 3,0,0
9.39,12.95,Tier 1,1,1
7.07,32.15,Tier 2,1,1
9.07,48.77,Tier 1,1,1
8.02,30.92,Tier 2,1,1
8.68,35.18,Tier 1,1,1
7.51,37.83,Tier 3,0,1
7.81,28.18,Tier 3,0,1
7.47,35.1,Tier 2,1,1
6.28,33.37,Tier 1,0,1
8.39,46.05,Tier 2,0,1
6.62,11.82,Tier 3,0,1
5.6,21.24,Tier 2,0,1
8.08,48.02,Tier 2,0,1
6.21,45.61,Tier 1,1,1
9.26,28.23,Tier 2,1,1
9.32,34.81,Tier 1,1,1
9.16,21.1,Tier 2,1,1
6.98,17.52,Tier 3,0,1
5.56,28.55,Tier 2,0,1
9.21,24.13,Tier 2,1,0
7.21,33.35,Tier 2,1,1
9.37,13.11,Tier 2,0,0
9.35,48.98,Tier 2,1,1
8.91,49.45,Tier 2,1,1
